threshold,approved,rejected,defaults_caught,missed_defaults,wrongly_rejected,rejection_rate
0.05,2,198,60,0,138,99.0
0.1,13,187,59,1,128,93.5
0.15,30,170,58,2,112,85.0
0.2,49,151,58,2,93,75.5
0.25,64,136,55,5,81,68.0
0.3,87,113,51,9,62,56.49999999999999
0.35,100,100,47,13,53,50.0
0.4,118,82,41,19,41,41.0
0.45,128,72,40,20,32,36.0
0.5,144,56,36,24,20,28.000000000000004
0.55,156,44,28,32,16,22.0
0.6,169,31,24,36,7,15.5
0.65,175,25,19,41,6,12.5
0.7,186,14,14,46,0,7.000000000000001
0.75,193,7,7,53,0,3.5000000000000004
0.8,195,5,5,55,0,2.5
0.85,198,2,2,58,0,1.0
0.9,200,0,0,60,0,0.0
